text_len, mean_cer
3,89.29967948717949
4,98.98221916971917
5,107.70402368099737
6,51.37776373404777
7,46.8806759204277
8,46.29734258709436
9,42.93711695414146
10,40.2082202442817
11,36.24601865276976
12,35.04840095260538
13,30.631734285938702
14,31.193748594560887
15,30.449709571422986
16,29.522596560976645
17,28.390114192264164
18,27.87700557803196
19,25.644306292504716
20,24.931519988450972
21,23.98249087566868
22,21.53083260431946
23,21.694094123750446
24,20.7217103340876
25,19.945236525129836
26,20.07481913310737
27,20.75502166151854
28,19.598695916813593
29,19.117206594524045
30,18.43986288651996
31,17.064544279892942
32,17.079622722498044
33,16.95432558270815
34,17.28335533626455
35,17.33523369662915
36,17.718662187642785
37,17.443107323852615
38,17.44879113962667
39,17.294015844474274
40,17.124832095577872
41,17.7278587276755
42,16.704752384180807
43,16.7129209300852
44,16.396811132069892
45,16.62119177395354
46,15.903134919240557
47,16.04609060107198
48,15.37351214025823
49,15.746072012248353
50,15.812365057264797
51,15.456483517420992
52,15.615577458027538
53,15.999437448304644
54,15.481160830726918
55,16.595214679452504
56,17.00709049756218
57,17.525688414833645
58,17.524617095580506
59,17.576181853929874
60,16.595289316633856
61,16.7384831427285
62,16.648783584042896
63,15.959509241827377
64,16.271805403731523
65,16.14903366370997
66,16.073870845139442
67,16.229617174764467
68,16.831311455715714
69,16.888722058992823
70,17.25208519686384
71,17.796630475130463
72,17.9457216369345
73,17.94980001469709
74,17.585449878793952
75,18.10870139985249
76,17.924161033240704
77,17.220760178750655
78,17.44884875683923
79,18.292138250578148
80,18.02974466704636
81,18.0816854210766
82,19.152927419985865
83,19.796036890494715
84,19.510044360915295
85,19.55471611752986
86,19.471971163801335
87,18.760542847156323
88,17.83580944502354
89,18.210841117140045
90,18.35805106195119
91,19.478528242746535
92,19.877923944927318
93,20.51990701204786
94,20.661527034182583
95,20.593576688049808
96,19.872137365870138
97,20.253027489668057
98,20.411044422547523
99,21.282159137197354
100,21.55640892690373
101,22.707410211549366
102,23.648284253516305
103,24.39503284542619
104,24.838210121157413
105,25.6399052339327
106,24.79778769372762
107,24.26739313716371
108,24.325172584264628
109,23.844344046832312
110,23.073805167406874
111,23.879881206769795
112,24.559686937483804
113,25.85356097948378
114,26.83460638961182
115,27.814170407968945
116,28.168615752743058
117,27.226072245595994
118,26.50672999364505
119,26.088846412912606
120,25.609373244914842
121,25.87200546012989
122,27.25340565664591
123,27.321456938697192
124,27.546303614701408
125,28.16145213097294
126,28.679829502246655
127,30.55272196778728
128,31.85724729611749
129,32.308861728813895
130,32.54662053446208
131,32.38105608981388
132,31.584247321814548
133,31.65600269523873
134,32.1396366274582
135,33.399492136022985
136,33.18718822318327
137,33.325487857686014
138,32.020350013074484
139,33.78679448249444
140,33.619324309594795
141,36.27022172136178
142,37.67155779535972
143,39.206656317527205
144,37.74092724148984
145,37.37464313715242
146,36.7573010198103
147,36.89554471304426
148,37.56019988545805
149,37.92239658077639
150,40.07634747532879
151,41.412831017694685
152,41.861167411040825
153,41.529817165248005
154,42.03525359783676
155,43.13538552823806
156,42.16787222193101
157,40.2663774902476
158,41.41102349200858
159,43.27913122968154
160,42.166932094230575
161,44.3627552971983
162,46.03248991907282
163,48.373336572419475
164,46.22470062074529
165,48.285333851638
166,51.51217490424592
167,51.87236674011967
168,51.67603366143365
169,54.98118408770012
170,52.83802490555884
171,50.32351898758471
172,51.370733204781985
173,52.910789227190946
174,53.685126893431054
175,58.04064779281581
176,58.571389909048605
177,58.83696382600075
178,57.57452996356688
179,58.86395928947285
180,57.718731635770624
181,58.892963410723674
182,63.67080528587548
183,64.39874751381771
184,64.31006588975914
185,67.68420040576218
186,68.24847347790478
187,68.84759356072051
188,72.43955239261741
189,71.38750913165674
190,70.51822003065539
191,72.67653104550338
192,73.77956246425646
193,74.70451284926877
194,78.06555569572672
195,81.43407549419177
196,80.4468531598192
197,77.48332880017118
198,77.44230315914554
199,77.81168076093252
200,76.17757463821002
201,76.43785076055511
202,78.34036050817275
203,76.67957251567744
204,77.04119022463613
205,76.19863105233092
206,75.64642463805555
207,79.31274893201845
208,81.66918202015884
209,78.95182439197437
210,79.32418560108702
211,82.95310753986811
212,81.42322660829689
213,82.43491603859098
214,85.20503428264286
215,86.10148685286295
216,85.23255721535855
217,84.57784726862454
218,83.62435889653152
219,84.5782416151201
220,84.01917102379144
221,84.65081847289889
222,83.212633726709
223,82.79930039337566
224,83.22576986929855
225,85.29240478615372
226,84.30583803294786
227,85.65750829530316
228,84.78823293298433
229,84.45714893059817
230,83.30293135719482
231,82.44239751185185
232,81.3519261200704
233,82.98678067860675
234,82.09587578043794
235,82.20193260735901
236,83.20528673871111
237,83.11953056090472
238,83.07680850754437
239,84.60342781973227
240,84.97271330984631
241,84.32983887612221
242,84.79677762363575
243,84.7700526479312
244,84.28610477940686
245,84.04664726722207
246,84.47808228647071
247,83.52733942431169
248,81.81254059049245
249,80.8963462891072
250,81.21136460412552
251,80.50067627422261
252,82.01518575571815
253,80.93084588643711
254,82.06606542494973
255,79.52057719074554
256,79.21838730109357
257,77.7889646275764
258,79.7514583430113
259,78.87127994262815
260,80.68248973263024
261,80.20493498272602
262,80.28041468320572
263,80.00407215780659
264,79.5604919429015
265,80.52483994301586
266,80.81883574348122
267,81.35991099412895
268,80.35676634004092
269,80.63804148361942
270,78.79487668961193
271,79.30154663658038
272,78.41776512625557
273,79.08140148989193
274,77.1206014471089
275,77.56058339656738
276,77.2216896763787
277,76.1186888653487
278,75.16338583504567
279,75.52147547350047
280,75.11252189283631
281,74.33212853967431
282,75.07547752245992
283,73.6566178733371
284,73.81337570625152
285,73.74387463130157
286,73.8354856769762
287,75.34319397984996
288,76.32383523816817
289,74.45458764727111
290,74.43312884657743
291,75.34072586338947
292,73.61121052784348
293,74.22527637627519
294,75.15566552831383
295,74.57376201832813
296,73.78423609274155
297,73.2162430092205
298,72.43206221826006
299,72.02478617144912
300,70.8495682081517
301,70.98818945282649
302,72.2151961417897
303,73.27093384670773
304,74.27130298661176
305,74.46987062472468
306,74.11697819262433
307,72.18129858097384
308,71.11695872551817
309,71.27058502062357
310,71.33458318315593
311,70.86516974249649
312,70.99750540510239
313,70.92991707944954
314,72.05969444116552
315,72.65795133674104
316,74.16346703991783
317,75.42018089491853
318,74.54220470444234
319,72.98881143183695
320,72.97842680891632
321,71.8057531714375
322,70.98664252474066
323,72.04337329397143
324,72.04069760641528
325,69.00310762028121
326,69.08569842296941
327,68.56504098741837
328,68.67717980529737
329,69.32467777262681
331,72.538717500428
332,72.18546059959553
333,72.86476922364852
334,72.90720916034827
335,72.92472730414005
336,72.05438951072534
337,70.98785002332846
338,70.3346454579202
339,69.18326995170598
340,68.11840452404186
341,66.80696870711154
342,67.28306118155758
343,66.04009442963944
344,67.11852746406724
345,70.2342057086701
346,69.24781115084699
347,70.5985141561112
348,70.0767750256764
349,69.4435717913171
350,65.51050917669829
351,68.00814845904011
352,66.94781465624601
353,68.35626536047138
354,68.02174761022329
355,68.48456910245655
356,67.28115700819664
357,66.91888264280628
358,68.78820971635872
359,69.1724669638601
360,69.60125386323523
362,70.72255178930855
364,73.02981087267614
365,71.64849086056593
366,72.6723918934749
367,71.99696975463812
368,71.7692254131693
369,68.01724233543266
371,67.90094542767393
372,65.9163077465145
373,66.68174625196339
375,65.24109191605856
376,67.63996544396436
377,67.33348879658182
378,67.18272764172617
380,65.75964643419582
381,66.57501999741422
382,65.42639084878505
384,65.13100121190216
385,66.16996749496293
387,68.29973563258447
390,67.60864003190765
392,66.44628601313046
394,66.16799143948705
397,65.72299557513634
400,64.01841003721748